,Habitantes,Máximo de publicadores en 2020,Un publicador por cada,Promedio de publicadores en 2020,% de aumento sobre 2019,Número de bautizados en 2020,Promedio de precursores,Número de congregaciones,Asistencia a la Conmemoración
Albania,2878000.0,5612.0,517.0,5569.0,-1.0,160.0,1282.0,87.0,14252.0
Alemania,83157000.0,164486.0,514.0,161931.0,-1.0,3102.0,15146.0,2087.0,246904.0
Andorra,77000.0,173.0,458.0,168.0,-3.0,0.0,14.0,3.0,383.0
Angola,32866000.0,167638.0,213.0,154043.0,-4.0,8291.0,24860.0,2421.0,371823.0
Anguila,15000.0,65.0,268.0,56.0,-13.0,0.0,11.0,1.0,156.0
Antigua,98000.0,483.0,212.0,463.0,2.0,6.0,39.0,7.0,876.0
Argentina,45196000.0,156765.0,292.0,154786.0,1.0,3080.0,25252.0,1976.0,355842.0
Armenia,2963243.0,10652.0,280.0,10590.0,-1.0,189.0,2051.0,130.0,22723.0
Aruba,107000.0,1103.0,99.0,1082.0,0.0,34.0,112.0,14.0,3062.0
Australia,25540000.0,69146.0,376.0,67975.0,0.0,1435.0,7038.0,754.0,107233.0
Austria,9066000.0,21550.0,430.0,21095.0,-2.0,291.0,1821.0,292.0,31937.0
Azerbaiyán,10067000.0,1592.0,6614.0,1522.0,6.0,55.0,393.0,14.0,3286.0
Azores,243000.0,802.0,307.0,792.0,4.0,19.0,112.0,15.0,1654.0
Bahamas,393000.0,1795.0,232.0,1692.0,0.0,24.0,252.0,28.0,3426.0
Bangladesh,164689000.0,330.0,506735.0,325.0,3.0,24.0,152.0,6.0,750.0
Barbados,287000.0,2428.0,122.0,2357.0,-2.0,35.0,176.0,30.0,4317.0
Bélgica,11493000.0,25396.0,460.0,24984.0,0.0,451.0,2079.0,338.0,43943.0
Belice,398000.0,2630.0,157.0,2536.0,-4.0,49.0,514.0,58.0,6454.0
Benín,12123000.0,14360.0,932.0,13003.0,-3.0,495.0,1830.0,235.0,29761.0
Bermudas,62000.0,450.0,160.0,387.0,-10.0,3.0,80.0,5.0,798.0
Bielorrusia,9408000.0,6238.0,1524.0,6173.0,1.0,151.0,1307.0,83.0,9635.0
Bolivia,11673000.0,29397.0,403.0,28968.0,3.0,1497.0,7578.0,459.0,84794.0
Bonaire,21000.0,123.0,175.0,120.0,-1.0,0.0,17.0,2.0,311.0
Bosnia-Herzegovina,3281000.0,1049.0,3201.0,1025.0,-2.0,12.0,171.0,16.0,1677.0
Botsuana,2375000.0,2302.0,1094.0,2171.0,-2.0,105.0,341.0,44.0,4854.0
Brasil,211959000.0,897056.0,239.0,888581.0,1.0,29330.0,121295.0,12531.0,1627323.0
Bulgaria,6951000.0,2605.0,2712.0,2563.0,2.0,73.0,666.0,54.0,5608.0
Burkina Faso,20903000.0,2027.0,12413.0,1684.0,-6.0,57.0,237.0,48.0,3601.0
Burundi,11891000.0,15734.0,778.0,15276.0,4.0,874.0,2486.0,271.0,47890.0
Cabo Verde,556000.0,2284.0,250.0,2226.0,-2.0,79.0,370.0,35.0,5419.0
Caimán (islas),66000.0,289.0,241.0,274.0,4.0,1.0,40.0,3.0,620.0
Camboya,16719000.0,1199.0,14388.0,1162.0,0.0,47.0,629.0,18.0,1869.0
Camerún,26679994.0,43542.0,637.0,41887.0,0.0,1301.0,5778.0,582.0,84320.0
Canadá,37742000.0,115661.0,329.0,114574.0,0.0,1565.0,13674.0,1194.0,167289.0
Centroafricana. Rep,4830000.0,2962.0,1774.0,2723.0,-1.0,223.0,285.0,62.0,11920.0
Chad,16426000.0,904.0,20155.0,815.0,-5.0,71.0,76.0,20.0,3240.0
Checa. Rep,10694000.0,15439.0,701.0,15245.0,-1.0,210.0,1328.0,212.0,25075.0
Chile,19458000.0,85273.0,235.0,82967.0,3.0,2702.0,14639.0,959.0,180281.0
Chipre,1207000.0,2754.0,445.0,2713.0,1.0,55.0,485.0,41.0,4808.0
Chuuk,50000.0,41.0,1515.0,33.0,-20.0,0.0,9.0,2.0,87.0
Colombia,50883000.0,188368.0,273.0,186369.0,1.0,5410.0,28633.0,2316.0,498494.0
Congo. Rep del,5518000.0,9192.0,667.0,8277.0,0.0,368.0,1096.0,117.0,21820.0
Congo. Rep Dem del,89561000.0,240982.0,417.0,214940.0,-4.0,9862.0,20950.0,4161.0,1009808.0
Cook (islas),18000.0,226.0,88.0,205.0,9.0,7.0,27.0,3.0,398.0
Corea del Sur,51840000.0,103366.0,505.0,102631.0,1.0,2031.0,46337.0,1268.0,125510.0
Costa de Marfil,26378000.0,12269.0,2277.0,11584.0,-3.0,281.0,1613.0,323.0,29851.0
Costa Rica,5094000.0,32103.0,160.0,31853.0,0.0,942.0,3791.0,439.0,70877.0
Croacia,4058000.0,4802.0,859.0,4723.0,-3.0,42.0,421.0,58.0,6727.0
Cuba,11327000.0,94873.0,121.0,93909.0,-1.0,3310.0,9399.0,1418.0,178495.0
Curazao,164000.0,2019.0,83.0,1965.0,-3.0,35.0,222.0,25.0,4510.0
Dinamarca,5825000.0,14573.0,404.0,14407.0,-1.0,167.0,1173.0,174.0,20384.0
Dominica,72000.0,426.0,178.0,404.0,-2.0,4.0,51.0,10.0,966.0
Dominicana. Rep,10848000.0,41590.0,283.0,38386.0,1.0,1127.0,7230.0,560.0,110445.0
Ecuador,17643000.0,101387.0,178.0,99381.0,2.0,3332.0,19096.0,1214.0,298855.0
El Salvador,6486000.0,39751.0,166.0,39145.0,-2.0,831.0,4724.0,671.0,81220.0
Eslovaquia,5460000.0,11061.0,499.0,10938.0,-1.0,222.0,900.0,133.0,21216.0
Eslovenia,2097000.0,1775.0,1200.0,1748.0,-3.0,13.0,243.0,30.0,2610.0
España,46755000.0,117236.0,401.0,116590.0,1.0,2047.0,18233.0,1470.0,206434.0
Estados Unidos,331003000.0,1242976.0,273.0,1210950.0,0.0,24462.0,185616.0,12355.0,2068674.0
Estonia,1329000.0,3986.0,339.0,3925.0,-1.0,53.0,547.0,56.0,5932.0
